Scientific Name	Common Name	Species Code	Population Code	Lead Region	Federal Listing Status	Where Listed
Haliotis cracherodii	Black Abalone	G0FU	I01	NMFS	Endangered	Entire
Haliotis sorenseni	White Abalone	G0C8	I01	NMFS	Endangered	North America (West Coast from Point Conception, CA, U.S.A., to Punta Abreojos, Baja California, Mexico)
Halophila johnsonii	Johnson's seagrass	Q3AL	P01	NMFS	Threatened	
Hamiota australis	Southern sandshell	F030	I01	4	Threatened	Entire
Haplostachys haplostachya	Honohono	Q1WW	P01	1	Endangered	
Harperocallis flava	Harper's beauty	Q1WX	P01	4	Endangered	
Harpia harpyja	Harpy eagle	B04Z	V01	Foreign	Endangered	Entire
Harrisia (=Cereus) aboriginum (=gracilis)	Aboriginal Prickly-apple	Q0DR	P01	4	Endangered	Entire
Harrisia portoricensis	Higo Chumbo	Q2AX	P01	4	Threatened	
Hedeoma todsenii	Todsen's pennyroyal	Q24C	P01	2	Endangered	
Hedyotis mannii	Pilo	Q1X1	P01	1	Endangered	
Hedyotis megalantha	Paudedo	Q3OX	P01	1	Endangered	
Hedyotis purpurea var. montana	Roan Mountain bluet	Q2B3	P01	4	Endangered	
Hedyotis schlechtendahliana var. remyi	Kopa	Q33Y	P01	1	Endangered	
Helenium virginicum	Virginia sneezeweed	Q2P9	P01	5	Threatened	
Helianthemum greenei	Island rush-rose	Q0YA	P01	8	Threatened	
Helianthus paradoxus	Pecos (=puzzle, =paradox) sunflower	Q0YJ	P01	2	Threatened	
Helianthus schweinitzii	Schweinitz's sunflower	Q2B7	P01	4	Endangered	
Helianthus verticillatus	Whorled Sunflower	Q3HO	P01	4	Endangered	Entire
Helminthoglypta walkeriana	Morro shoulderband (=Banded dune) snail	G00D	I01	8	Endangered	Entire
Helonias bullata	Swamp pink	Q2B8	P01	5	Threatened	
Hemiargus ceraunus antibubastus	Ceraunus Blue Butterfly	I0W5	I01	4	Similarity of Appearance to a Threatened Taxon	Entire
Hemignathus affinis	Maui nukupuu	B0OC	V01	1	Endangered	Entire
Hemignathus hanapepe	Kauai nukupuu	B048	V01	1	Endangered	Entire
Hemignathus wilsoni	akiapolaau	B001	V01	1	Endangered	Entire
Hemiphaga novaeseelandiae chathamensis	Chatham Island pigeon	B02Z	V01	Foreign	Endangered	Entire
Hemistena lata	Cracking pearlymussel	F01X	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Hemitragus jayakari	Arabian tahr	A07T	V01	Foreign	Endangered	Entire
Hemitriccus kaempferi	Kaempfer's tody-tyrant	B0BG	V01	Foreign	Endangered	Entire
Heraclides aristodemus ponceanus	Schaus swallowtail butterfly	I016	I01	4	Endangered	Entire
Heritiera longipetiolata	Ufa-halomtano	Q2PA	P01	1	Endangered	
Herpailurus (=Felis) yagouaroundi cacomitli	Gulf Coast jaguarundi	A05H	V01	2	Endangered	Wherever found
Herpailurus (=Felis) yagouaroundi fossata	Guatemalan jaguarundi	A05I	V01	Foreign	Endangered	Mexico,Nicaragua
Herpailurus (=Felis) yagouaroundi panamensis	Panamanian jaguarundi	A05J	V01	Foreign	Endangered	Entire
Herpailurus (=Felis) yagouaroundi tolteca	Sinaloan Jaguarundi	A05K	V01	2	Endangered	Entire
Hesperia dacotae	Dakota Skipper	I011	I01	3	Threatened	Entire
Hesperia leonardus montana	Pawnee montane skipper	I01E	I01	6	Threatened	Entire
Hesperolinon congestum	Marin dwarf-flax	Q1X6	P01	8	Threatened	
Hesperomannia arborescens	No common name	Q1X7	P01	1	Endangered	
Hesperomannia arbuscula	No common name	Q1X8	P01	1	Endangered	
Hesperomannia lydgatei	No common name	Q1X9	P01	1	Endangered	
Heterelmis comalensis	Comal Springs riffle beetle	I0MH	I01	2	Endangered	Entire
Hexastylis naniflora	Dwarf-flowered heartleaf	Q1XA	P01	4	Threatened	
Hibiscadelphus distans	Kauai hau kuahiwi	Q1XB	P01	1	Endangered	
Hibiscadelphus giffardianus	Hau kuahiwi	Q0ZE	P01	1	Endangered	
Hibiscadelphus hualalaiensis	Hau kuahiwi	Q0ZF	P01	1	Endangered	
Hibiscadelphus woodii	Hau kuahiwi	Q3GL	P01	1	Endangered	
Hibiscus arnottianus ssp. immaculatus	Koki`o ke`oke`o	Q2BC	P01	1	Endangered	
Hibiscus brackenridgei	(=Native yellow hibiscus) ma`o hau hele	Q1XE	P01	1	Endangered	
Hibiscus clayi	Clay's hibiscus	Q1XF	P01	1	Endangered	
Hibiscus dasycalyx	Neches River rose-mallow	Q0ZH	P01	2	Threatened	
Hibiscus waimeae ssp. hannerae	Koki`o ke`oke`o	Q1XG	P01	1	Endangered	
Himantopus mexicanus knudseni	Hawaiian stilt	B04C	V01	1	Endangered	Entire
Himantopus novaezelandiae	Black Stilt	B0CS	V01	Foreign	Endangered	Entire
Hippocamelus antisensis	North Andean huemul	A05F	V01	Foreign	Endangered	Ecuador, Peru, Chile, Bolivia, Argentina
Hippocamelus bisulcus	South Andean huemul	A05G	V01	Foreign	Endangered	Chile, Argentina
Hipposideros ridleyi	Singapore roundleaf horseshoe bat	A09Z	V01	Foreign	Endangered	Entire
Hippotragus niger variani	Giant sable antelope	A00I	V01	Foreign	Endangered	Entire
Hoffmannseggia tenella	Slender rush-pea	Q1XI	P01	2	Endangered	
Holocarpha macradenia	Santa Cruz tarplant	Q0ZL	P01	8	Threatened	
Howellia aquatilis	Water howellia	Q2RM	P01	6	Threatened	
Hudsonia montana	Mountain golden heather	Q2U5	P01	4	Threatened	
Huperzia mannii	Wawae`iole	S01K	P01	1	Endangered	
Huperzia nutans	Wawae`iole	S01L	P01	1	Endangered	
Huso dauricus	Kaluga sturgeon	E0CK	V01	NMFS	Endangered	Entire
Huso huso	Beluga sturgeon	E0A2	V01	Foreign	Threatened	Entire
Hyaena hyaena barbara	Barbary hyena	A01A	V01	Foreign	Endangered	Morocco, Algeria, Tunisia
Hybognathus amarus	Rio Grande Silvery Minnow	E07I	V01	2	Endangered	Entire, except where listed as an experimental population
Hylobates spp. (including Nomascus)	Gibbons	A05A	V01	Foreign	Endangered	China, India, Southeast Asia
Hymenophysa curta	Ayumodoki (loach)	E00J	V01	Foreign	Endangered	Entire
Hymenoxys herbacea	Lakeside daisy	Q2U6	P01	3	Threatened	
Hymenoxys texana	Texas prairie dawn-flower	Q2RK	P01	2	Endangered	
Hypericum cumulicola	Highlands scrub hypericum	Q1XJ	P01	4	Endangered	
Hypolimnas octocula mariannensis	Mariana eight-spot butterfly	I0R7	I01	1	Endangered	Entire
Hypomesus transpacificus	Delta smelt	E070	V01	8	Threatened	Entire
Hypsipetes borbonicus olivaceus	Mauritius olivaceous Bulbul	B011	V01	Foreign	Endangered	Entire
Icaricia (Plebejus) shasta charlestonensis	Mount Charleston blue butterfly	I0TX	I01	8	Endangered	Entire
Icaricia icarioides fenderi	Fender's blue butterfly	I0IS	I01	1	Endangered	Entire
Icaricia icarioides missionensis	Mission blue butterfly	I00J	I01	8	Endangered	Entire
Ictalurus pricei	Yaqui catfish	E02H	V01	2	Threatened	Entire
Ilex cookii	Cook's holly	Q2BO	P01	4	Endangered	
Ilex sintenisii	No common name	Q3AB	P01	4	Endangered	
Iliamna corei	Peter's Mountain mallow	Q2BP	P01	5	Endangered	
Indri indri	Indri lemur	A01F	V01	Foreign	Endangered	Malagasy Republic(=Madagascar)
Ipomopsis polyantha	Pagosa skyrocket	Q2U7	P01	6	Endangered	
Ipomopsis sancti-spiritus	Holy Ghost ipomopsis	Q34D	P01	2	Endangered	
Iris lacustris	Dwarf lake iris	Q2BS	P01	3	Threatened	
Ischaemum byrone	Hilo ischaemum	Q2BT	P01	1	Endangered	
Ischnura luta	Rota blue damselfly	I0U8	I01	1	Endangered	Entire
Isodendrion hosakae	Aupaka	Q2BU	P01	1	Endangered	
Isodendrion laurifolium	Aupaka	Q108	P01	1	Endangered	
Isodendrion longifolium	Aupaka	Q109	P01	1	Threatened	
Isodendrion pyrifolium	Kula wahine noho	Q1XK	P01	1	Endangered	
Isoetes louisianensis	Louisiana quillwort	S00T	P01	4	Endangered	
Isoetes melanospora	Black spored quillwort	S015	P01	4	Endangered	
Isoetes tegetiformans	Mat-forming quillwort	S019	P01	4	Endangered	
Isopora crateriformis	No common name	P01X	I01	NMFS	Threatened	Entire
Isotria medeoloides	Small whorled pogonia	Q1XL	P01	5	Threatened	
Ivesia kingii var. eremica	Ash Meadows ivesia	Q1XM	P01	8	Threatened	
Ivesia webberi	Webber Ivesia	Q34J	P01	8	Threatened	
Jacquemontia reclinata	Beach jacquemontia	Q2BZ	P01	4	Endangered	
Jatropha costaricensis	Costa Rican jatropha	Q24B	P01	Foreign	Endangered	
Juglans jamaicensis	West Indian Walnut (=Nogal)	Q34N	P01	4	Endangered	
Justicia cooleyi	Cooley's water-willow	Q1XO	P01	4	Endangered	
Juturnia kosteri	Koster's springsnail	G04C	I01	2	Endangered	Entire
Kachuga tecta tecta	Indian sawback turtle	C01H	V01	Foreign	Endangered	Entire
Kadua cookiana	'Awiwi	Q1WY	P01	1	Endangered	
Kadua coriacea	Kio`ele	Q1WZ	P01	1	Endangered	
Kadua degeneri	No common name	Q1X0	P01	1	Endangered	
Kadua parvula	No common name	Q1X2	P01	1	Endangered	
Kadua st.-johnii	No common name	Q1X5	P01	1	Endangered	
Kanaloa kahoolawensis	Kohe malama malama o kanaloa	Q3GX	P01	1	Endangered	
Keysseria (=Lagenifera) erici	No common name	Q3HP	P01	1	Endangered	
Keysseria (=Lagenifera) helenae	No common name	Q3HQ	P01	1	Endangered	
Kobus leche	Red lechwe	A05O	V01	Foreign	Threatened	Southern Africa
Kokia cookei	Cooke's koki`o	Q1XP	P01	1	Endangered	
Kokia drynarioides	Koki`o	Q1XQ	P01	1	Endangered	
Kokia kauaiensis	Koki`o	Q1XR	P01	1	Endangered	
Korthalsella degeneri	Hulumoa	Q34P	P01	1	Endangered	
Labordia cyrtandrae	Kamakahala	Q2C2	P01	1	Endangered	
Labordia helleri	Kamakahala	Q34Q	P01	1	Endangered	
Labordia lydgatei	Kamakahala	Q2C3	P01	1	Endangered	
Labordia pumila	Kamakahala	Q34R	P01	1	Endangered	
Labordia tinifolia var. lanaiensis	Kamakahala	Q2C4	P01	1	Endangered	
Labordia tinifolia var. wahiawaensis	Kamakahala	Q3GM	P01	1	Endangered	
Labordia triflora	Kamakahala	Q11Y	P01	1	Endangered	
Lagorchestes hirsutus	Western hare wallaby	A03T	V01	Foreign	Endangered	Entire
Lagostrophus fasciatus	Banded hare wallaby	A03P	V01	Foreign	Endangered	Entire
Lagothrix flavicauda	Yellow-tailed woolly monkey	A06X	V01	Foreign	Endangered	Entire
Lampsilis abrupta	Pink mucket (pearlymussel)	F00G	I01	4	Endangered	Entire
Lampsilis altilis	Finelined pocketbook	F02X	I01	4	Threatened	Entire
Lampsilis higginsii	Higgins eye (pearlymussel)	F009	I01	3	Endangered	Entire
Lampsilis perovalis	Orangenacre mucket	F01S	I01	4	Threatened	Entire
Lampsilis powellii	Arkansas fatmucket	F02I	I01	4	Threatened	Entire
Lampsilis rafinesqueana	Neosho Mucket	F00F	I01	4	Endangered	Entire
Lampsilis streckeri	Speckled pocketbook	F020	I01	4	Endangered	Entire
Lampsilis subangulata	Shinyrayed pocketbook	F02Y	I01	4	Endangered	Entire
Lampsilis virescens	Alabama lampmussel	F00A	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Lanius ludovicianus mearnsi	San Clemente loggerhead shrike	B05R	V01	8	Endangered	Entire
Lanx sp.	Banbury Springs limpet	G05Q	I01	1	Endangered	Entire
Larus audouinii	Audouin's gull	B01S	V01	Foreign	Endangered	Entire
Larus relictus	Relict gull	B053	V01	Foreign	Endangered	Entire
Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei)	Queensland hairy-nosed wombat (incl. Barnard's)	A04F	V01	Foreign	Endangered	Entire
Lasiurus cinereus semotus	Hawaiian hoary bat	A03W	V01	1	Endangered	Entire
Lasmigona decorata	Carolina heelsplitter	F02L	I01	4	Endangered	Entire
Lasthenia burkei	Burke's goldfields	Q1XU	P01	8	Endangered	
Lasthenia conjugens	Contra Costa goldfields	Q122	P01	8	Endangered	
Laterallus tuerosi	Junin rail	B0BV	V01	Foreign	Endangered	Entire
Layia carnosa	Beach layia	Q34T	P01	8	Endangered	
Leavenworthia crassa	Fleshy-fruit gladecress	Q12K	P01	4	Endangered	Entire
Leavenworthia exigua laciniata	Kentucky glade cress	Q12F	P01	4	Threatened	Entire
Leavenworthia texana	Texas golden Gladecress	Q34U	P01	2	Endangered	
Leiolopisma telfairi	Round Island skink	C036	V01	Foreign	Threatened	Entire
Leiopelma hamiltoni	Stephen Island frog	D003	V01	Foreign	Endangered	Entire
Lemiox rimosus	Birdwing pearlymussel	F00I	I01	4	Endangered	Wherever found; Except where listed as Experimental Populations
Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)	Lemurs	A05P	V01	Foreign	Endangered	Entire
Leontopithecus spp.	Golden-rumped tamarin	A02F	V01	Foreign	Endangered	Entire
Leopardus (=Felis) pardalis	Ocelot	A084	V01	2	Endangered	wherever found
Leopardus (=Felis) tigrinus	Tiger cat	A03Z	V01	Foreign	Endangered	Entire
Leopardus (=Felis) wiedii	Margay	A042	V01	2	Endangered	Entire
Lepanthes eltoroensis	No common name	Q2C5	P01	4	Endangered	
Lepidium arbuscula	`Anaunau	Q12Y	P01	1	Endangered	
Lepidium barnebyanum	Barneby ridge-cress	Q1XV	P01	6	Endangered	
Lepidochelys kempii	Kemp's ridley sea turtle	C00O	V01	2	Endangered	Entire
Lepidochelys olivacea	Olive ridley sea turtle	C00V	V01	4	Threatened	Entire species, except when listed as endangered under 50 CFR 224.101
Lepidochelys olivacea	Olive ridley sea turtle	C00V	V02	Foreign	Endangered	Breeding colony populations on Pacific coast of Mexico
Lepidomeda albivallis	White River spinedace	E04P	V01	8	Endangered	Entire
Lepidomeda mollispinis pratensis	Big Spring spinedace	E04L	V01	8	Threatened	Entire
Lepidomeda vittata	Little Colorado spinedace	E04M	V01	2	Threatened	Entire
Lepidurus packardi	Vernal pool tadpole shrimp	K048	I01	8	Endangered	Entire
Leporillus conditor	Stick-nest rat	A04C	V01	Foreign	Endangered	Australia
Leptailurus (=Felis) serval constantina	Barbary serval	A02A	V01	Foreign	Endangered	Entire
Leptasthenura xenothorax	White-browed tit-spinetail	B0BL	V01	Foreign	Endangered	Entire
Leptocereus grantianus	No common name	Q34Y	P01	4	Endangered	
Leptodea leptodon	Scaleshell mussel	F00W	I01	3	Endangered	Entire
Leptonycteris curasoae yerbabuenae	Lesser long-nosed bat	A0AD	V01	2	Endangered	Entire
Leptonycteris nivalis	Mexican long-nosed bat	A0AE	V01	2	Endangered	Entire
Leptoptilos dubius	Greater adjutant	B0C3	V01	Foreign	Endangered	Entire
Leptotes cassius theonus	Cassius Blue Butterfly	I0W4	I01	4	Similarity of Appearance to a Threatened Taxon	Entire
Leptotila rufaxilla wellsi	Grenada gray-fronted dove	B01C	V01	Foreign	Endangered	Entire
Leptoxis ampla	Round rocksnail	G08D	I01	4	Threatened	Entire
Leptoxis foremani	Interrupted (=Georgia) Rocksnail	G0C2	I01	4	Endangered	Entire
Leptoxis plicata	Plicate rocksnail	G08C	I01	4	Endangered	Entire
Leptoxis taeniata	Painted rocksnail	G08B	I01	4	Threatened	Entire
Lepyrium showalteri	Flat pebblesnail	G07F	I01	4	Endangered	Entire
Lespedeza leptostachya	Prairie bush-clover	Q2CB	P01	3	Threatened	Entire
Lesquerella congesta	Dudley Bluffs bladderpod	Q351	P01	6	Threatened	
Lesquerella kingii ssp. bernardina	San Bernardino Mountains bladderpod	Q2CD	P01	8	Endangered	
Lesquerella lyrata	Lyrate bladderpod	Q1XX	P01	4	Threatened	
Lesquerella pallida	White bladderpod	Q2PE	P01	2	Endangered	
Lesquerella perforata	Spring Creek bladderpod	Q13H	P01	4	Endangered	
Lesquerella thamnophila	Zapata bladderpod	Q13L	P01	2	Endangered	
Lesquerella tumulosa	Kodachrome bladderpod	Q1XY	P01	6	Endangered	
Lessingia germanorum (=L.g. var. germanorum)	San Francisco lessingia	Q3AI	P01	8	Endangered	
Leucopeza semperi	Semper's warbler (=wood)	B03K	V01	Foreign	Endangered	Entire
Leucopsar rothschildi	Rothschild's starling (myna)	B03B	V01	Foreign	Endangered	Entire
Liatris helleri	Heller's blazingstar	Q2CI	P01	4	Threatened	
Liatris ohlingerae	Scrub blazingstar	Q1XZ	P01	4	Endangered	
Lichenostomus melanops cassidix (=Meliphaga c.)	Helmeted honeyeater	B041	V01	Foreign	Endangered	Entire
Lilaeopsis schaffneriana var. recurva	Huachuca water-umbel	Q2PK	P01	2	Endangered	
Lilium occidentale	Western lily	Q1Y0	P01	8	Endangered	
Lilium pardalinum ssp. pitkinense	Pitkin Marsh lily	Q141	P01	8	Endangered	
Limnanthes floccosa ssp. californica	Butte County meadowfoam	Q2YE	P01	8	Endangered	
Limnanthes floccosa ssp. grandiflora	Large-flowered woolly Meadowfoam	Q2CL	P01	1	Endangered	Entire
Limnanthes vinculans	Sebastopol meadowfoam	Q1Y1	P01	8	Endangered	
Lindera melissifolia	Pondberry	Q2CO	P01	4	Endangered	
Linum carteri carteri	Carter's small-flowered flax	Q14I	P01	4	Endangered	
Liophus ornatus	Maria Island snake	C056	V01	Foreign	Endangered	Entire
Lioplax cyclostomaformis	Cylindrical lioplax (snail)	G072	I01	4	Endangered	Entire
Lipochaeta fauriei	Nehe	Q1Y4	P01	1	Endangered	
Lipochaeta kamolensis	Nehe	Q2CS	P01	1	Endangered	
Lipochaeta lobata var. leptophylla	Nehe	Q1YC	P01	1	Endangered	
Lipochaeta micrantha	Nehe	Q2CY	P01	1	Endangered	
Lipochaeta venosa	No common name	Q1YJ	P01	1	Endangered	
Lipochaeta waimeaensis	Nehe	Q2D1	P01	1	Endangered	
Lipotes vexillifer	Chinese River Dolphin	A0FQ	V01	Foreign	Endangered	Entire
Lirceus usdagalun	Lee County cave isopod	K02C	I01	5	Endangered	Entire
Lithophragma maximum	San Clemente Island woodland-star	Q14U	P01	8	Endangered	
Lobelia koolauensis	No common name	Q14Y	P01	1	Endangered	
Lobelia monostachya	No common name	Q2D2	P01	1	Endangered	
Lobelia niihauensis	No common name	Q1YK	P01	1	Endangered	
Lobelia oahuensis	No common name	Q1YL	P01	1	Endangered	
Lomatium bradshawii	Bradshaw's desert-parsley	Q1YN	P01	1	Endangered	
Lomatium cookii	Cook's lomatium	Q356	P01	1	Endangered	Entire
Lontra (=Lutra) felina	Marine otter	A05Y	V01	Foreign	Endangered	Peru south to Straits of Magellan
Lontra (=Lutra) longicaudis (incl. platensis)	Long-tailed otter	A05X	V01	Foreign	Endangered	South America
Lontra (=Lutra) provocax	Southern river otter	A05Z	V01	Foreign	Endangered	Chile,Argentina
Lophophorus lhuysii	Chinese monal pheasant	B03W	V01	Foreign	Endangered	Entire
Lophophorus sclateri	Sclater's monal pheasant	B02V	V01	Foreign	Endangered	Entire
Lophura edwardsi	Edward's pheasant	B02R	V01	Foreign	Endangered	Entire
Lophura imperialis	Imperial pheasant	B02S	V01	Foreign	Endangered	Entire
Lophura swinhoii	Swinhoe's pheasant	B02W	V01	Foreign	Endangered	Entire
Loxioides bailleui	Palila (honeycreeper)	B00K	V01	1	Endangered	Entire
Loxodonta africana	African elephant	A07U	V01	Foreign	Threatened	Entire
Loxops caeruleirostris	Akekee	B0AF	V01	1	Endangered	Entire
Loxops coccineus	Hawaii akepa	B044	V01	1	Endangered	Entire
Loxops ochraceus	Maui akepa	B045	V01	1	Endangered	Entire
Lupinus aridorum	Scrub lupine	Q2PR	P01	4	Endangered	
Lupinus nipomensis	Nipomo Mesa lupine	Q161	P01	8	Endangered	
Lupinus sulphureus ssp. kincaidii	Kincaid's Lupine	Q35E	P01	1	Threatened	
Lupinus tidestromii	Clover lupine	Q2DD	P01	8	Endangered	
Lycaeides argyrognomon lotis	Lotis blue butterfly	I00I	I01	8	Endangered	Entire
Lycaeides melissa samuelis	Karner blue butterfly	I00F	I01	3	Endangered	Entire
Lycaon pictus	African wild dog	A0A1	V01	Foreign	Endangered	Entire
Lynx (=Felis) rufus escuinapae	Mexican bobcat	A04S	V01	Foreign	Endangered	Entire
Lynx canadensis	Canada Lynx	A073	V01	6	Threatened	Wherever Found in Contiguous U.S.
Lyonia truncata var. proctorii	No common name	Q35F	P01	4	Endangered	
Lysimachia asperulaefolia	Rough-leaved loosestrife	Q2DF	P01	4	Endangered	
Lysimachia daphnoides	lehua makanoe	Q35G	P01	1	Endangered	
Lysimachia filifolia	No common name	Q2DG	P01	1	Endangered	
Lysimachia iniki	No common name	Q3MX	P01	1	Endangered	
Lysimachia lydgatei	No common name	Q35J	P01	1	Endangered	
Lysimachia maxima	No common name	Q35K	P01	1	Endangered	
Lysimachia pendens	No common name	Q3MY	P01	1	Endangered	
Lysimachia scopulensis	No common name	Q3MZ	P01	1	Endangered	
Lysimachia venosa	No common name	Q3H4	P01	1	Endangered	
Macaca arctoides	Stump-tailed macaque	A06M	V01	Foreign	Threatened	Entire
Macaca cyclopis	Formosan rock macaque	A06K	V01	Foreign	Threatened	Entire
Macaca fuscata	Japanese macaque	A06L	V01	Foreign	Threatened	Entire
Macaca silenus	Lion-tailed macaque	A01N	V01	Foreign	Endangered	Entire
Macaca sinica	Toque macaque	A06N	V01	Foreign	Threatened	Entire
Macbridea alba	White birds-in-a-nest	Q1YP	P01	4	Threatened	
Macrocephalon maleo	Maleo megapode	B023	V01	Foreign	Endangered	Entire
Macropus giganteus tasmaniensis	Tasmanian forester kangaroo	A047	V01	Foreign	Endangered	Entire
Macropus parma	Parma wallaby	A03S	V01	Foreign	Endangered	Entire
Macrotis lagotis	Rabbit bandicoot	A031	V01	Foreign	Endangered	Entire
Macrotis leucura	Lesser rabbit bandicoot	A02Z	V01	Foreign	Endangered	Entire
Maesa walkeri	No common name	Q3OY	P01	1	Threatened	Entire
Malaconotus alius	Ulugura bush-shrike	B09L	V01	Foreign	Threatened	Entire
Malacothamnus clementinus	San Clemente Island bush-mallow	Q1YR	P01	8	Endangered	
Malacothamnus fasciculatus var. nesioticus	Santa Cruz Island bush-mallow	Q16R	P01	8	Endangered	
Malacothrix indecora	Santa Cruz Island malacothrix	Q35Q	P01	8	Endangered	
Malacothrix squalida	Island malacothrix	Q3EK	P01	8	Endangered	
Malimbus ibadanensis	Ibadan malimbe	B09U	V01	Foreign	Endangered	Entire
Mandrillus (=Papio) leucophaeus	Drill	A06F	V01	Foreign	Endangered	Entire
Mandrillus (=Papio) sphinx	Mandrill	A06O	V01	Foreign	Endangered	Entire
Manduca blackburni	Blackburn's sphinx moth	I0AL	I01	1	Endangered	Entire
Manihot walkerae	Walker's manioc	Q1YS	P01	2	Endangered	
Manis temminckii	Temnick's ground Pangolin	A060	V01	Foreign	Endangered	Africa
Margaritifera hembeli	Louisiana pearlshell	F02C	I01	4	Threatened	Entire
Margaritifera marrianae	Alabama pearlshell	F01W	I01	4	Endangered	Entire
Marmota vancouverensis	Vancouver Island marmot	A0A3	V01	Foreign	Endangered	Entire
Marshallia mohrii	Mohr's Barbara's buttons	Q1YT	P01	4	Threatened	
Marsilea villosa	Ihi`ihi	S00U	P01	1	Endangered	
Martes flavigula chrysospila	Formosan yellow-throated marten	A01R	V01	Foreign	Endangered	Entire
Masticophis lateralis euryxanthus	Alameda whipsnake (=striped racer)	C04A	V01	8	Threatened	Entire
Meda fulgida	Spikedace	E05J	V01	2	Endangered	Entire
Medionidus acutissimus	Alabama moccasinshell	F038	I01	4	Threatened	Entire
Medionidus parvulus	Coosa moccasinshell	F039	I01	4	Endangered	Entire
Medionidus penicillatus	Gulf moccasinshell	F03M	I01	4	Endangered	Entire
Medionidus simpsonianus	Ochlockonee moccasinshell	F03N	I01	4	Endangered	Entire
Megadyptes antipodes	yellow-eyed penguin	B0FL	V01	Foreign	Threatened	Entire
Megalagrion leptodemas	Crimson Hawaiian damselfly	I05V	I01	1	Endangered	Entire
Megalagrion nesiotes	Flying earwig Hawaiian damselfly	I05X	I01	1	Endangered	Entire
Megalagrion nigrohamatum nigrolineatum	Blackline Hawaiian damselfly	I05U	I01	1	Endangered	Entire
Megalagrion oceanicum	Oceanic Hawaiian damselfly	I062	I01	1	Endangered	Entire
Megalagrion pacificum	Pacific Hawaiian damselfly	I064	I01	1	Endangered	Entire
Megalonaias nicklineana	Nicklin's pearlymussel	F00Y	I01	Foreign	Endangered	Entire
Megapodius laperouse	Micronesian megapode	B00T	V01	1	Endangered	Entire
Megaptera novaeangliae	Humpback whale	A02Q	V01	NMFS	Endangered	Entire
Megaptera novaeangliae	Humpback whale	A02Q	V02	NMFS	Endangered	West Indies DPS
Megaptera novaeangliae	Humpback whale	A02Q	V04	NMFS	Endangered	Western North Pacific
Megaptera novaeangliae	Humpback whale	A02Q	V05	NMFS	Endangered	Hawaii DPS
Megaptera novaeangliae	Humpback whale	A02Q	V06	NMFS	Endangered	Mexico DPS
Megaptera novaeangliae	Humpback whale	A02Q	V07	NMFS	Endangered	Central America DPS
Megaptera novaeangliae	Humpback whale	A02Q	V08	NMFS	Endangered	Brazil DPS
Megaptera novaeangliae	Humpback whale	A02Q	V09	NMFS	Endangered	Gabon/Southwest Africa DPS
Megaptera novaeangliae	Humpback whale	A02Q	V10	NMFS	Endangered	Southeast Africa/Madagascar DPS
Megaptera novaeangliae	Humpback whale	A02Q	V11	NMFS	Endangered	West Australia DPS
Megaptera novaeangliae	Humpback whale	A02Q	V12	NMFS	Endangered	East Australia DPS
Megaptera novaeangliae	Humpback whale	A02Q	V13	NMFS	Endangered	Oceania DPS
Megaptera novaeangliae	Humpback whale	A02Q	V14	NMFS	Endangered	Southeastern Pacific DPS
Melamprosops phaeosoma	Po`ouli (honeycreeper)	B04N	V01	1	Endangered	Entire
Melanochelys tricarinata	Three-keeled Asian turtle	C01L	V01	Foreign	Endangered	Entire
Melanosuchus niger	Black caiman	C00Y	V01	Foreign	Endangered	Entire
Melanthera tenuifolia	Nehe	Q2D0	P01	1	Endangered	
Melicope adscendens	Alani	Q35V	P01	1	Endangered	
Melicope balloui	Alani	Q1YU	P01	1	Endangered	
Melicope christophersenii	Alani	Q1YV	P01	1	Endangered	
Melicope degeneri	Alani	Q1YX	P01	1	Endangered	
Melicope haupuensis	Alani	Q1YY	P01	1	Endangered	
Melicope hiiakae	Alani	Q2DJ	P01	1	Endangered	
Melicope knudsenii	Alani	Q1YZ	P01	1	Endangered	
Melicope lydgatei	Alani	Q1Z0	P01	1	Endangered	
Melicope makahae	Alani	Q1Z2	P01	1	Endangered	
Melicope mucronulata	Alani	Q1Z3	P01	1	Endangered	
Melicope munroi	Alani	Q1Z4	P01	1	Endangered	
Melicope ovalis	Alani	Q1Z7	P01	1	Endangered	
Melicope pallida	Alani	Q1Z8	P01	1	Endangered	
Melicope paniculata	Alani	Q1Z9	P01	1	Endangered	
Melicope puberula	Alani	Q35Y	P01	1	Endangered	
Melicope quadrangularis	Alani	Q1ZA	P01	1	Endangered	
Melicope reflexa	Alani	Q1ZB	P01	1	Endangered	
Melicope saint-johnii	Alani	Q17M	P01	1	Endangered	
Melicope zahlbruckneri	Alani	Q1ZC	P01	1	Endangered	
Menidia extensa	Waccamaw silverside	E01P	V01	4	Threatened	Entire
Mentzelia leucophylla	Ash Meadows blazingstar	Q1ZD	P01	8	Threatened	
Mergus octosetaceus	Brazillian merganser	B0BZ	V01	Foreign	Endangered	Entire
Mezoneuron kavaiense	Uhi uhi	Q09U	P01	1	Endangered	
Microhexura montivaga	Spruce-fir moss spider	J014	I01	4	Endangered	Entire
Microtus californicus scirpensis	Amargosa vole	A082	V01	8	Endangered	Entire
